ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Badga,Badga,bada1257,,bfq,,,,
Betta_Kurumba,Betta_Kurumba,bett1235,,xub,,,,
Brahui,Brahui,brah1256,,brh,,,,
Gondi,Gondi,nort2702,,gno,,,,
Kannada,Kannada,nucl1305,,kan,,,,
Kodava,Kodava,koda1255,,kfa,,,,
Kolami,Kolami,nort2699,,kfb,,,,
Kota,Kota,kota1263,,kfe,,,,
Koya,Koya,koya1251,,kff,,,,
Kurukh,Kurukh,kuru1302,,kru,,,,
Kuwi,Kuwi,kuvi1243,,kxv,,,,
Malayalam,Malayalam,mala1464,,mal,,,,
Malto,Malto,saur1249,,mjt,,,,
Ollari_Gadba,Ollari_Gadba,pott1240,,gdb,,,,
Parji,Parji,duru1236,,pci,,,,
Tamil,Tamil,tami1289,,tam,,,,
Telugu,Telugu,telu1262,,tel,,,,
Toda,Toda,toda1252,,tcx,,,,
Tulu,Tulu,tulu1258,,tcy,,,,
Yeruva,Yeruva,ravu1237,,yea,,,,
